Deutsch ;Wylie Transkripton;Tibetisch;Klassik;Modern;Höflichkeitsform
Nudelsuppe, die;bod thug;བོད་ཐུག།;;;
nur;las;ལས།;;;
offen;a'byed;འབྱེད།;;;
offen;phye;ཕྱེ།;;;
Osten, der;shar;ཤར།;;;
Öl, das;snum;སྣུམ།;;;
Papier, das;shog bu;ཤོག་བུ།;;;
Papier, das;shog gu;ཤོག་གུ།;;;
Park, der;gling ga;གླིང་ག།;;;
Pass, der;lag khyer;ལག་ཁྱེར།;;;
Person, die;mi;མི།;;;
picknicken;gling ga btang;གླིང་ག་གཏང།;;;
Pferd, das;rta;;;;
Plan, der;a'char gzhi;འཆར་གཞི།;;;
Präfix, der;sngon a'jug;སྔོན་འཇུག།;;;
Preis, der;gong;གོང།;;;
Postamt, das;yig zam chus;ཡིག་ཟམ་ཅུས།;;;
Postamt, das;sbrag khang;སྦྲག་ཁང།;;;
Postsuffix, der;yang a'jug;ཡང་འཇུག།;;;
reiten;bzhon;བཞོན།;;;
reiten;chibs;ཆིབས།;;;
runter;mar;མར།;;;
sagen;gsung;;;;
Salz, das;tshwa;;;;
salzig;tshwa gu;;;;
Samstag, der;gza'a spen pa;གཟའ་སྤེན་པ།;;;
sauber;gtsang ma;གཙང་མ།;;;
sauer;skyur mo;སྐྱུར་མོ།;;;
Schal, de;;;;;
Schal, der zerimonelle;kha btags;ཁ་བཏགས།;;;
scharf;kha tsha po;ཁ་ཚ་པོ།;;;
schaue;;;;;
schauen;gzigs;གཟིགས།;;;
Schiff, das;gru gzings;གྲུ་གཟིངས།;;;
Schnee, der;gngas;གངས།;;;
schnell;mgyrogs po;མགྱོགས་པོ།;;;
Schule, die;slob gswra;སློབ་གྲྭ།;;;
Schüssel, die;phor pa;ཕོར་པ།;;;
süß;snying rje po;;;;
schwierig;khag po;ཁག་པོ།;;;
sie;kho mo;ཁོ་མོ།;;;
sie;khong;ཁོང།;;;
sie;kho tsho;ཁོ་ཚོ།;;;
sie;khong tsho;ཁོང་ཚོ།;;;
sitzen;bsdad;བསྡད། ;modern;;
sitzen;bzhugs;བཞུགས།;Höflichkeitsform, klassisch;;
sehen;mthong;མཐོང།;;;
sehr;ha chang;ཧ་ཅང།;;;
senden;btang;བཏང།;;;
Staatsangehörigkeit, die;mi rigs;མི་རིགས།;;;
Straße, die;lam ka;ལམ་ཀ།;;;
Student/in, der/die;slob phrug;སློབ་ཕྲུག།;;;
Student/in, der/die;slob grwa ba;སློབ་;;;
studieren;slob sbyong byed;སློབ་སྦྱོང་བྱེད།;;;
studieren;slob sbyong gnang;སློབ་སྦྱོང་གནང།;;;
Superskript, das;mgo chan;མགོ་ཅན།;;;
Stern, der;skar ma;སྐར་མ།;;;
Stift, der;smyu gu;སྨྱྭ་གུ།;;;
Stift, de;;;;;
später;rjes mar;རྗེས་མར།;;;
studieren;sbyang;སྦྱང།;;;
Stuhl, der;rkub bkyag;རྐུབ་བཀྱག།;;;
Stuhl, de;;;;;
Sommer, der;dbyar kha;དབྱར་ཁ།;;;
Sonne, die;nyi ma;ཉི་མ།;;;
Sonntag, der;gza'a nyi ma;གཟའ་ཉི་མ།;;;
Sohn, der;bu;བུ།;;;
sprechen;bshad;བཤད།;;;
sprechen;gsung;གསུང།;;;
Suffix, der;rjes a'jug;རྗེས་འཇུག།;;;
süß;mgar mo;མངར་མོ།;;;
Tag, jeden;nyin ltar re bzhin;;;;
Tasse, die;dkhar yol;དཀར་ཡོལ།;;;
Tasse, die porzellan;dkhar yol;;;;
Tee, der;ja;ཇ།;;;
Tee, der;gsol ja;;;;
Tibet;bod ;བོད།;;;
Tibeter(in), der/die;bod rigs, ;བོད་རིགས།;;;
Tibeter(in), der/die;bod mi;བོད་མི།;;;
Tibeter(in), der/die;bod pa;བོད་པ།;;;
tibetische Essen, das;bod zas;བོད་ཟས།;;;
tibetische Restaurant, das;bod zas za khang;བོད་ཟས་ཟ་ཁང།;;;
tibetische Schriftsprache, die;bod yig;བོད་ཡིག།;;;
tibetische Sprache, die;bod skad;བོད་སྐད།;;;
Ticket, das;pa se ;;;;
Tisch, der;sgrog tse;སྒྲོག་ཙེ།;;;
Traum, der;rmi lam;;;;
träumen;rmi lam btang;;;;
Treffen, das;zhal chas;ཞལ་ཆས།;;;
treffen;bsu;བསུ།;;;
treffen;thug;ཐུག།;;;
treffen;mjal;མཇལ།;;;
trinken;a'thung;འཐུང།;;;
Tochter, die;bu mo;བུ་མོ།;;;
Tür, die;sgo;སྒོ།;;;
Uhr, die;chu tshod;ཆུ་ཚོད།;;;
unangenehm;rnyog dra tsha po;རྙོག་དྲ་ཚ་པོ།;;;
und;dang;དང།;;;
und;byes;བྱེས།;;;
unterhaltsam;ltad mo chen mo;ལྟད་མོ་ཆེན་མོ།;;;
übergeben, etwas;skyel;སྐྱེལ།;;;
übermorgen;gnangs nyin ka;གནངས་ཉིན་ཀ།;;;
Vater, der;pha ;ཕ།;;;
Vater, der;yab;ཡབ།;;;
Vokal, der ;dbyangs;དབྱངས།;;;
vorstellen;ngo sprod zhu;ངོ་སྤྲོད་ཞུ།;;;
Vaterland, das;pha yul;ཕ་ཡུལ།;;;
Vereinigte Staaten von Amerika;a m ri ka;ཨ་མ་རི་ཀ།;;;
vergessen;brjed;;;;
verkaufen;tshong;ཚོང།;;;
verlieren;brlag;བརླག།;;;
vermissen;dran;དྲན།;;;
Verstand, der;sems;སེམས།;;;
Verstand, der;thugs;ཐུགས།;;;
verstehen;kho;ཁོ།;;;
verstehen, etwas;shes;ཤེས།;;;
viele;mang po;མང་པོ།;;;
von;las;ལས།;;;
von;nas;ནས།;;;
von wo;ga nas;ག་ནས།;;;
vor, zeitlich;zin pa;ཟིན་པ།;;;
vorher;sngon la;སྔོན་ལ།;;;
vorher;sngan la;སྔན་ལ།;;;
vorgestern;kha nyin mo;ཁ་ཉིན་མོ།;;;
vorgestern;kha'i nyin ma;ཁའི་ཉིན་མ།;;;
vorstellen, jmd.;ngo spyod byed;ངོ་སྤྲོད་བྱེད།;;;
vorstellen, jmd.;ngo spyod zhus;ངོ་སྤྱོད་ཞུས།;;;
Vorteil, der;phan thogs;ཕན་ཐོགས།;;;
warten;sgug;སྒུག།;;;
wann;ga dus;ག་དུས།;;;
wann;dus;དུས།;;;
warum;ga re yin na;ག་ར་ཡིན་ན།;;;
was;ga re ;ག་རེ།;;;
Wasser, das;chu ;ཆུ།;;;
Wasser, das heiße;chu khol;ཆུ་ཁོལ།;;;
waschen;a'khru;འཁྲུ།;;;
während;ring;རིང།;;;
wegen;tsang;ཙང།;;;
weil;tsang;ཙང།;;;
weil;ga re red zer na;ག་ར་རེད་ཟེར་ན།;;;
welche;ga gi;ག་གི།;;;
weinen;ngu;ངུ།;;;
weiß;dkar po;དཀར་པོ།;;;
wer;su;སུ།;;;
wieviel;ga tshod;ག་ཚོད།;;;
wissen;shes;ཤེས།;;;
Welt, die;a'dzam gling;འཛམ་གླིང།;;;
wo;ga par;ག་པར།;;;
woher;ga nas;ག་ནས།;;;
wollen;dgos;དགོས།;;;
Wolf, der;sbyang ki;;;;
Wort, das;tshig;ཚིག།;;;
Wörterbuch, das;tshig mdzod;ཚིག་མཛོད།;;;
Yak, das;gyag;གཡག།;;;
Yuan, der;skor mo;སྐོར་མོ།;;;
Zahn, der;so;སོ།;;;
Zeit, die;chu tshod;ཆུ་ཚོད།;;;
Zeit, lange;yun ring;ཡུན་རིང།;;;
zu;nang;ནང།;;;
Zucker, der weiße ;chi ni;ཅི་ནི།;;;
Zug, der;ri li;རི་ལི།;;;
Zuhause, das;nang;ནང།;;;
zusammen;mnyam du;མཉམ་དུ།;;;
zusenden;skyel;སྐྱེལ།;;;
